data e hora,Dióxido de Nitrogênio
01/01/2023 01:30:00,18.74
01/01/2023 02:30:00,23.23
01/01/2023 03:30:00,20.55
01/01/2023 04:30:00,11.93
01/01/2023 05:30:00,10.05
01/01/2023 06:30:00,12.53
01/01/2023 07:30:00,8.23
01/01/2023 08:30:00,5.89
01/01/2023 09:30:00,4.41
01/01/2023 10:30:00,7.78
01/01/2023 11:30:00,5.19
01/01/2023 12:30:00,6.29
01/01/2023 13:30:00,6.74
01/01/2023 14:30:00,7.29
01/01/2023 15:30:00,6.76
01/01/2023 16:30:00,5.48
01/01/2023 17:30:00,6.81
01/01/2023 18:30:00,12.40
01/01/2023 19:30:00,17.18
01/01/2023 20:30:00,20.22
01/01/2023 21:30:00,20.64
01/01/2023 22:30:00,15.57
01/01/2023 23:30:00,17.36
02/01/2023 00:30:00,16.95
02/01/2023 01:30:00,11.64
02/01/2023 02:30:00,8.93
02/01/2023 03:30:00,7.56
02/01/2023 04:30:00,6.72
02/01/2023 05:30:00,12.24
02/01/2023 06:30:00,23.61
02/01/2023 07:30:00,20.66
02/01/2023 08:30:00,19.15
02/01/2023 09:30:00,16.61
02/01/2023 10:30:00,15.00
02/01/2023 11:30:00,21.30
02/01/2023 12:30:00,12.71
02/01/2023 13:30:00,12.45
02/01/2023 14:30:00,20.37
02/01/2023 15:30:00,11.23
02/01/2023 16:30:00,12.87
02/01/2023 17:30:00,23.67
02/01/2023 18:30:00,26.64
02/01/2023 19:30:00,26.65
02/01/2023 20:30:00,21.63
02/01/2023 21:30:00,22.91
02/01/2023 22:30:00,19.69
02/01/2023 23:30:00,22.06
03/01/2023 00:30:00,20.15
03/01/2023 01:30:00,21.61
03/01/2023 02:30:00,22.12
03/01/2023 03:30:00,25.21
03/01/2023 04:30:00,17.08
03/01/2023 05:30:00,22.86
03/01/2023 06:30:00,15.06
03/01/2023 07:30:00,15.87
03/01/2023 08:30:00,10.83
03/01/2023 09:30:00,10.93
03/01/2023 10:30:00,9.67
03/01/2023 11:30:00,9.70
03/01/2023 12:30:00,8.22
03/01/2023 13:30:00,6.86
03/01/2023 14:30:00,5.87
03/01/2023 15:30:00,7.25
03/01/2023 16:30:00,8.34
03/01/2023 17:30:00,10.77
03/01/2023 18:30:00,13.07
03/01/2023 19:30:00,13.89
03/01/2023 20:30:00,28.30
03/01/2023 21:30:00,21.68
03/01/2023 22:30:00,16.09
03/01/2023 23:30:00,11.09
04/01/2023 00:30:00,11.81
04/01/2023 01:30:00,7.38
04/01/2023 02:30:00,4.42
04/01/2023 03:30:00,6.64
04/01/2023 04:30:00,11.13
04/01/2023 05:30:00,13.13
04/01/2023 06:30:00,11.25
04/01/2023 07:30:00,13.54
04/01/2023 08:30:00,11.88
04/01/2023 09:30:00,10.16
04/01/2023 10:30:00,9.20
04/01/2023 11:30:00,8.60
04/01/2023 12:30:00,9.30
